2020-04-07 18:55:32 [INF] canalMain.go:105 | fab_user : steve  update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | fab_pass :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | user_lv :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | org_name : Apple  update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | sys_user : Jobs  update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | reg_time : 2020-04-07 18:55:29  update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | enroll_time :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | exp_date :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | affil :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | attr :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | is_valid :   update= true
2020-04-07 18:55:32 [INF] canalMain.go:105 | remarks :   update= true
2020-04-07 18:55:32 [INF] canalTask.go:59 | 已新增缓存数据，Key: b_user_info:fab_user:steve
2020-04-07 18:55:32 [INF] canalTask.go:59 | 已新增缓存数据，Key: b_user_info:sys_user:Jobs
2020-04-07 18:56:25 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:56:25 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:56:25 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:56:25 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:56:25 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:56:28 [INF] canalMain.go:44 | Canal连接成功，开始监听binlog...
2020-04-07 18:56:39 [INF] canalMain.go:83 | ================> binlog[mysql-bin.000022 : 8406],name[bctest,b_user_info], eventType: DELETE
2020-04-07 18:56:39 [INF] canalMain.go:105 | id : 11  update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | fab_user : steve  update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | fab_pass :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | user_lv :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | org_name : Apple  update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | sys_user : Jobs  update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | reg_time : 2020-04-07 18:55:29  update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | enroll_time :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | exp_date :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | affil :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | attr :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | is_valid :   update= false
2020-04-07 18:56:39 [INF] canalMain.go:105 | remarks :   update= false
2020-04-07 18:56:39 [INF] canalTask.go:25 | 已删除缓存数据，Key: b_user_info:fab_user:steve
2020-04-07 18:56:39 [INF] canalTask.go:25 | 已删除缓存数据，Key: b_user_info:sys_user:Jobs
2020-04-07 18:57:03 [INF] conf.go:78 | 配置文件加载成功！
2020-04-07 18:57:03 [INF] syncMap.go:70 | 缓存数据同步规则加载成功！
2020-04-07 18:57:03 [INF] dbPool.go:25 | 数据库连接成功！
2020-04-07 18:57:03 [INF] redisPool.go:25 | Redis连接成功！
2020-04-07 18:57:03 [INF] handler.go:22 | 任务处理线程池创建成功，最大goroutine数量：10, 任务超时时间：3E+01秒
2020-04-07 18:57:06 [INF] refreshMain.go:14 | 开始分发数据库全量同步任务...
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_user_info
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_info
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_channel_info
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_orderer_info
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_org_info
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_peer_cc
2020-04-07 18:57:06 [INF] refreshTask.go:18 | 执行数据库全量同步任务，表：b_cc_info
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_user_info, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_peer_cc, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_orderer_info, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_org_info, 数据开始写入缓存...
2020-04-07 18:57:06 [INF] refreshTask.go:44 | b_peer_info, 数据开始写入缓存...
